"","time","S","I","R","Date","A","Rm","total_infected"
"165",165,398.873441857895,8.03914354309497,6564.68741459902,2020-09-05,NA,NA,6572.72655814211
"166",166,398.807410835693,7.69521962820553,6565.09736953611,2020-09-06,NA,NA,6572.79258916432
"167",167,398.744214980005,7.36599916281928,6565.48978585718,2020-09-07,NA,NA,6572.85578502
"168",168,398.683732218851,7.05085438488887,6565.86541339627,2020-09-08,NA,NA,6572.91626778116
"169",169,398.625845764572,6.74918426399922,6566.22496997144,2020-09-09,NA,NA,6572.97415423544
"170",170,398.570443882718,6.46041336901036,6566.56914274828,2020-09-10,NA,NA,6573.02955611729
"171",171,398.51741967123,6.18399078316555,6566.89858954561,2020-09-11,NA,NA,6573.08258032878
"172",172,398.466670849457,5.91938906471766,6567.21394008583,2020-09-12,NA,NA,6573.13332915055
"173",173,398.418099556553,5.6661032512031,6567.51579719225,2020-09-13,NA,NA,6573.18190044346
"174",174,398.371612158812,5.42364990556588,6567.80473793563,2020-09-14,NA,NA,6573.2283878412
"175",175,398.327119065547,5.19156620240563,6568.08131473206,2020-09-15,NA,NA,6573.27288093446
"176",176,398.284534553118,4.96940905269169,6568.3460563942,2020-09-16,NA,NA,6573.31546544689
"177",177,398.243776596727,4.75675426535116,6568.59946913793,2020-09-17,NA,NA,6573.35622340328
"178",178,398.204766709643,4.55319574420269,6568.84203754616,2020-09-18,NA,NA,6573.39523329037
"179",179,398.167429789515,4.35834471876874,6569.07422549173,2020-09-19,NA,NA,6573.43257021049
"180",180,398.131693971444,4.17182900755795,6569.29647702101,2020-09-20,NA,NA,6573.46830602857
"181",181,398.097490487526,3.99329231246634,6569.50921720002,2020-09-21,NA,NA,6573.50250951248
"182",182,398.064753532548,3.82239354300033,6569.71285292446,2020-09-22,NA,NA,6573.53524646746
"183",183,398.0334201356,3.65880616907717,6569.90777369533,2020-09-23,NA,NA,6573.56657986441
"184",184,398.003430037291,3.50221760120919,6570.09435236151,2020-09-24,NA,NA,6573.59656996272
"185",185,397.97472557236,3.35232859692659,6570.27294583072,2020-09-25,NA,NA,6573.62527442765
"186",186,397.947251557413,3.20885269234037,6570.44389575026,2020-09-26,NA,NA,6573.6527484426
"187",187,397.920955183568,3.07151565779189,6570.60752915865,2020-09-27,NA,NA,6573.67904481644
"188",188,397.895785913792,2.94005497657886,6570.76415910964,2020-09-28,NA,NA,6573.70421408622
"189",189,397.871695384715,2.81421934578883,6570.9140852695,2020-09-29,NA,NA,6573.72830461529
"190",190,397.848637312726,2.69376819831136,6571.05759448897,2020-09-30,NA,NA,6573.75136268728
